"Código de Acesso","F0101","F0102","F0103","F0104","F0201","Cor0202","F0203","Cor0204","F0205","Cor0206","F0207","Cor0208","Cor0209Outro","L0210 (não likert)","F0299 - Explicação Tempo","Q0401","Q0402","Q0403","T0404","Q0405","Q0406","Q0407","T0408","Q0409","Q0410","Q0411","T0412","Q0413","Q0414","Q0415","T0498","T0499 - Explicação Tempo","P01","T01","P02","T02","P03","T03","P05","T05","P09","T09","P12","T12","P15","T15","PTempoTotal","PTempoTotalExpl","QtdComida","QtdPessoas","QtdSom","GameTempoTotal","QtdDormir","QtdHorasDormi","QtdHorasSono","Acordar","F0705","F0706","F0707","F0708","F0709","F0710","F0711","F0712","F0713","F1101","F1102","F1103","F1104","F1105","Tempo1106","F1107","Tempo1108","F1109","Tempo1110","F1111","Tempo1112","TempoTotal11","T1199Expl","Q1201","Q1202","Q1203","T1204","T1205Expl","Q1206","Q1207","Q1208","Q1209","T1210Expl","P04","P08","P10","P12","P02","P03","P07","P09","P13","T04","T08","T10","T12","T02","T03","T07","T09","T13","TempoTotal","TempoTotalExpl","Data/Hora Último","Target1","Target2","Target3"
"JDOLSME75EKO","1","0","0.47058823529412","3","1","FFFFFF","8","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","10","1","9","69.602","5","4","9","47.394","8","1","9","0.0","23","6","27","116.996","10","2","10.982","2","15.163","2","9.234","2","9.016","1","21.461","4","6.286","1","64.242","136.384","N/A","2","1","1","20.782","1","1","2","3","4","3","1","1","4","3","3","3","1","1","8.416","3","4.527","2","8.789","2","8.055","2","3.509","3","2.432","35.728","N/A","0","0","24","65.946","N/A","0","0","24","110.471","N/A","5","5","5","5","5","1","1","5","1","5.965","4.424","6.867","6.15","5.515","8.2","7.582","5.25","5.567","79.517","N/A","12/09/2025 11:42:59","26.923","19.048","54.286"
"CM3DF3GCO8KV","3","1","0.47058823529412","3","2","BE845A","3","5B2600","2","FFFFFF","FFFFFF","262626","474747","0","N/A","2","1","17","10.983","2","1","12","7.45","1","2","16","17.116","5","4","45","35.549","N/A","2","34.999","1","6.649","4","9.55","4","20.901","1","10.217","1","9.881","1","23.115","115.312","N/A","2","1","3","25.732","2","2","2","3","3","3","3","3","3","3","2","2","3","2","7.234","3","6.197","2","1.9","4","4.8","2","3.605","4","7.124","30.860","N/A","2","0","24","141.18","N/A","7","0","24","203.626","N/A","5","5","1","5","5","1","1","5","5","5.436","3.09","7.055","1.466","3.562","11.683","6.514","15.82","6.274","84.976","N/A","12/09/2025 11:42:13","53.846","47.619","71.429"
"CX7MQGTPWBVF","3","0","0.47058823529412","2","5","FFFFFF","8","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","3","1","16","24.565","3","0","11","6.867","3","0","14","8.749","9","1","41","40.181","N/A","3","3.866","3","7.183","4","7.533","4","7.766","4","8.066","4","6.617","4","6.916","47.947","N/A","3","2","3","34.665","2","3","2","5","5","5","5","5","5","5","5","4","1","4","12.712","4","2.479","4","3.098","4","2.798","4","1.732","4","3.833","26.652","N/A","2","0","24","64.513","N/A","2","0","24","145.544","N/A","5","5","5","5","5","5","5","5","5","5.9","4.5","7.466","6.433","7.766","7.216","6.683","7.849","6.566","82.946","N/A","12/09/2025 11:40:41","11.538","4.762","77.143"
"GXZ25RE8L9UB","1","1","0.52941176470588","1","0","CB869F","3","7F0D0D","2","41641F","000000","64451F","F2F2F2","0","N/A","2","4","17","55.815","1","5","13","60.465","2","1","15","26.766","5","10","45","143.046","N/A","4","5.616","3","13.083","2","6.416","4","40.615","3","22.283","4","9.383","4","15.766","113.162","N/A","2","2","2","23.999","2","3","2","5","5","5","5","5","5","5","5","5","1","4","4.8","4","4.7","4","7.9","4","8.63","4","5.1","4","2.3","33.430","N/A","3","0","24","133.863","N/A","3","0","24","220.758","N/A","5","5","5","5","5","5","1","5","5","4.167","3.85","8.449","3.517","6.698","8.265","7.234","5.451","7.716","80.363","N/A","12/09/2025 11:37:18","15.385","47.619","85.714"
"1XSEM93HBL1W","2","0","0.47058823529412","4","4","DEC29E","11","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","1","0","18","18.846","1","1","13","11.094","0","0","17","3.691","2","1","48","33.631","N/A","3","32.667","3","25.008","4","15.42","3","51.616","3","14.235","4","10.674","4","12.208","161.828","N/A","2","2","3","58.177","2","3","2","5","5","5","5","5","5","5","5","5","1","4","4.2","4","1.9","4","1.1","4","0.5","4","1.6","4","0.3","9.600","N/A","2","0","24","72.215","N/A","7","0","24","154.672","N/A","5","5","1","5","5","5","5","5","5","6.378","4.047","13.839","7.228","10.558","6.844","9.674","8.843","9.127","98.888","N/A","12/09/2025 11:34:20","0.000","0.000","65.714"
"21QPOX7EK9GB","3","0","0.52941176470588","3","3","FACA7D","8","000000","2","8F8678","000000","000000","010100","0","N/A","3","0","16","25.913","0","3","14","30.279","2","1","15","12.034","5","4","45","68.226","N/A","3","3.316","3","9.383","4","5.633","4","14.382","4","10.148","4","7.183","3","8.199","58.244","N/A","2","1","1","25.597","1","2","2","5","5","5","5","5","5","5","5","5","1","4","19.459","4","2.697","2","5.899","3","1.597","4","1.277","3","7.293","38.222","N/A","20","0","24","125.939","N/A","4","0","24","132.285","N/A","5","5","5","5","5","5","1","5","5","3.368","3.783","12.25","7.534","4.767","8.901","49.646","6.318","12.234","135.653","N/A","12/09/2025 11:31:40","23.077","19.048","60.000"
"3K07UCBRM7NJ","1","0","0.58823529411765","2","2","FFFFFF","14","4F4545","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","3","0","16","10.45","3","0","11","8.749","3","0","14","5.8","9","0","41","24.999","N/A","2","11.1","3","27.199","4","4.033","4","6.899","1","38.398","3","9.834","1","4.316","101.779","N/A","2","1","3","24.364","2","2","1","3","4","2","3","3","2","2","2","1","4","1","2.5","2","4.4","1","6.6","1","2.0","2","2.0","2","2.7","20.200","N/A","0","0","24","49.864","N/A","2","0","24","102.012","N/A","5","5","5","1","5","1","1","5","5","4.983","7.967","8.583","6.383","10.7","10.516","9.932","9.033","10.016","99.963","N/A","12/09/2025 11:29:05","19.231","90.476","28.571"
"PKT94846M7Z8","2","0","0.47058823529412","3","5","947907","5","292929","2","AEAEAE","810000","3C3C3C","937600","2","N/A","15","3","4","68.346","6","0","8","44.831","2","4","15","11.316","23","7","27","124.493","N/A","1","3.35","3","13.349","4","10.833","3","16.132","4","3.467","3","9.799","4","10.883","67.813","N/A","3","2","1","21.832","2","3","2","5","5","5","5","3","5","4","3","4","4","2","7.266","3","3.699","4","1.015","4","1.532","4","2.783","3","2.999","19.294","N/A","2","0","24","77.98","N/A","2","0","24","125.094","N/A","5","5","5","5","5","5","5","5","5","5.367","4.667","12.6","2.834","5.45","8.666","7.116","7.35","8.533","86.429","N/A","12/09/2025 11:26:23","19.231","19.048","65.714"
"7CG4949BWJOM","1","1","0.47058823529412","1","2","FFFFFF","3","FFFFFF","1","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","3","2","16","30.901","4","17","10","56.467","3","3","14","29.265","10","22","40","116.633","N/A","2","14.533","2","5.133","2","4.382","2","4.016","3","23.369","4","8.099","3","10.467","69.999","N/A","1","1","1","15.216","1","1","2","5","4","4","2","4","5","3","2","2","3","1","8.7","1","1.6","2","2.8","1","0.7","2","1.3","4","13.5","28.600","N/A","0","0","24","62.266","N/A","9","0","24","187.547","N/A","1","1","5","1","1","5","1","5","1","5.216","6.85","2.8","5.716","8.25","6.185","5.483","4.816","7.0","76.698","N/A","12/09/2025 11:25:42","57.692","42.857","34.286"
"LOSXYY17C37Y","1","1","0.58823529411765","2","0","FFFFFF","7","B30007","1","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","14","21","5","58.564","9","29","5","67.948","5","11","12","0.0","28","61","22","126.512","11","4","3.166","2","5.717","3","15.649","2","17.1","3","17.349","4","7.917","1","7.999","74.897","N/A","1","0","1","19.083","1","2","3","1","5","1","1","5","5","5","5","5","1","1","5.8","1","2.0","1","2.9","1","1.2","2","3.0","2","6.2","21.100","N/A","0","0","24","64.948","N/A","4","0","24","97.412","N/A","1","1","1","1","1","5","1","1","1","3.9","7.417","6.783","5.832","9.867","8.482","22.149","6.667","5.066","100.494","N/A","12/09/2025 11:25:40","42.308","38.095","68.571"
