Código de Acesso,F0101,F0102,F0103,F0104,F0201,Cor0202,F0203,Cor0204,F0205,Cor0206,F0207,Cor0208,Cor0209Outro,L0210 (não likert),Q0401,Q0402,Q0403,T0404,Q0405,Q0406,Q0407,T0408,Q0409,Q0410,Q0411,T0412,Q0413,Q0414,Q0415,T0498,P01,T01,P02,T02,P03,T03,P05,T05,P09,T09,P12,T12,P15,T15,PTempoTotal,PTempoTotalExpl,QtdComida,QtdPessoas,QtdSom,GameTempoTotal,QtdDormir,QtdHorasDormi,QtdHorasSono,Acordar,F0705,F0706,F0707,F0708,F0709,F0710,F0711,F0712,F0713,F1101,F1102,F1103,F1104,F1105,Tempo1106,F1107,Tempo1108,F1109,Tempo1110,F1111,Tempo1112,TempoTotal11,T1199Expl,Q1201,Q1202,Q1203,T1204,T1205Expl,Q1206,Q1207,Q1208,Q1209,T1210Expl,P04,P08,P10,P12.1,P02.1,P03.1,P07,P09.1,P13,T04,T08,T10,T12.1,T02.1,T03.1,T07,T09.1,T13,TempoTotal,Data/Hora Último,Target1,Target2,Target3,cluster,Target1_Previsto,Target2_Previsto,Target3_Previsto
JDOLSME75EKO,1,0,0.47058823529412,3,1,FFFFFF,8,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,10.0,1.0,9.0,69.602,5.0,4.0,9.0,47.394,8.0,1.0,9.0,0.0,23,6,27,116.996,2.0,10.982,2.0,15.163,2,9.234,2.0,9.016,1.0,21.461,4,6.286,1.0,64.242,136.384,1.0,2.0,1.0,1.0,20.782,1,1,2,3,4,3,1,1,4,3,3,3,1,1.0,8.416,3.0,4.527,2.0,8.789,2.0,8.055,2.0,3.509,3.0,2.432,35.728,0.0,0.0,0.0,24.0,65.946,0.0,0.0,0.0,24.0,110.471,5.5,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,5.965,4.424,6.867,6.15,5.515,8.2,7.582,5.25,5.567,79.517,12/09/2025 11:42:59,26.923,19.048,54.286,1,29.190544336256202,24.728224042585744,53.804003553482524
CM3DF3GCO8KV,3,1,0.47058823529412,3,2,BE845A,3,5B2600,2,FFFFFF,FFFFFF,262626,474747,0,2.0,1.0,17.0,10.983,2.0,1.0,12.0,7.45,1.0,2.0,16.0,17.116,5,4,45,35.549,2.0,34.999,1.0,6.649,4,9.55,4.0,20.901,1.0,10.217,1,9.881,1.0,23.115,115.312,1.0,2.0,1.0,3.0,25.732,2,2,2,3,3,3,3,3,3,3,2,2,3,2.0,7.234,3.0,6.197,2.0,1.9,4.0,4.8,2.0,3.605,4.0,7.124,30.86,0.0,2.0,0.0,24.0,141.18,0.0,7.0,0.0,24.0,203.626,5.5,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,5.436,3.09,7.055,1.466,3.562,11.683,6.514,15.82,6.274,84.976,12/09/2025 11:42:13,53.846,47.619,71.429,1,50.56233048721075,46.41726653111624,67.5873438956843
CX7MQGTPWBVF,3,0,0.47058823529412,2,5,FFFFFF,8,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,3.0,1.0,16.0,24.565,3.0,0.0,11.0,6.867,3.0,0.0,14.0,8.749,9,1,41,40.181,3.0,3.866,3.0,7.183,4,7.533,4.0,7.766,4.0,8.066,4,6.617,4.0,6.916,47.947,1.0,3.0,2.0,3.0,34.665,2,3,2,5,5,5,5,5,5,5,5,4,1,4.0,12.712,4.0,2.479,4.0,3.098,4.0,2.798,4.0,1.732,4.0,3.833,26.652,0.0,2.0,0.0,24.0,64.513,0.0,2.0,0.0,24.0,145.544,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.9,4.5,7.466,6.433,7.766,7.216,6.683,7.849,6.566,82.946,12/09/2025 11:40:41,11.538,4.762,77.143,2,12.616105645669972,11.807037252219617,79.23319902739777
GXZ25RE8L9UB,1,1,0.52941176470588,1,0,CB869F,3,7F0D0D,2,41641F,000000,64451F,F2F2F2,0,2.0,4.0,17.0,55.815,1.0,5.0,13.0,60.465,2.0,1.0,15.0,26.766,5,10,45,143.046,4.0,5.616,3.0,13.083,2,6.416,4.0,40.615,3.0,22.283,4,9.383,4.0,15.766,113.162,1.0,2.0,2.0,2.0,23.999,2,3,2,5,5,5,5,5,5,5,5,5,1,4.0,4.8,4.0,4.7,4.0,7.9,4.0,8.63,4.0,5.1,4.0,2.3,33.43,0.0,3.0,0.0,24.0,133.863,0.0,3.0,0.0,24.0,220.758,5.5,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.167,3.85,8.449,3.517,6.698,8.265,7.234,5.451,7.716,80.363,12/09/2025 11:37:18,15.385,47.619,85.714,2,17.60451411284186,44.045304104765144,85.6109828595378
1XSEM93HBL1W,2,0,0.47058823529412,4,4,DEC29E,11,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,1.0,0.0,18.0,18.846,1.0,1.0,13.0,11.094,0.0,0.0,17.0,3.691,2,1,48,33.631,3.0,32.667,3.0,25.008,4,15.42,3.0,51.616,3.0,14.235,4,10.674,4.0,12.208,161.828,1.0,2.0,2.0,3.0,58.177,2,3,2,5,5,5,5,5,5,5,5,5,1,4.0,4.2,4.0,1.9,4.0,1.1,4.0,0.5,4.0,1.6,4.0,0.3,9.6,0.0,2.0,0.0,24.0,72.215,0.0,7.0,0.0,24.0,154.672,5.5,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,6.378,4.047,13.839,7.228,10.558,6.844,9.674,8.843,9.127,98.888,12/09/2025 11:34:20,0.0,0.0,65.714,2,2.0468857506982654,3.1012157826463933,65.74373015690016
21QPOX7EK9GB,3,0,0.52941176470588,3,3,FACA7D,8,000000,2,8F8678,000000,000000,010100,0,3.0,0.0,16.0,25.913,0.0,3.0,14.0,30.279,2.0,1.0,15.0,12.034,5,4,45,68.226,3.0,3.316,3.0,9.383,4,5.633,4.0,14.382,4.0,10.148,4,7.183,3.0,8.199,58.244,1.0,2.0,1.0,1.0,25.597,1,2,2,5,5,5,5,5,5,5,5,5,1,4.0,19.459,4.0,2.697,2.0,5.899,3.0,1.597,4.0,1.277,3.0,7.293,38.222,0.0,20.0,0.0,24.0,125.939,0.0,4.0,0.0,24.0,132.285,5.5,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.368,3.783,12.25,7.534,4.767,8.901,49.646,6.318,12.234,135.653,12/09/2025 11:31:40,23.077,19.048,60.0,2,24.068615455195523,22.41306406128865,61.159360557954116
3K07UCBRM7NJ,1,0,0.58823529411765,2,2,FFFFFF,14,4F4545,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,3.0,0.0,16.0,10.45,3.0,0.0,11.0,8.749,3.0,0.0,14.0,5.8,9,0,41,24.999,2.0,11.1,3.0,27.199,4,4.033,4.0,6.899,1.0,38.398,3,9.834,1.0,4.316,101.779,1.0,2.0,1.0,3.0,24.364,2,2,1,3,4,2,3,3,2,2,2,1,4,1.0,2.5,2.0,4.4,1.0,6.6,1.0,2.0,2.0,2.0,2.0,2.7,20.2,0.0,0.0,0.0,24.0,49.864,0.0,2.0,0.0,24.0,102.012,5.5,5.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,4.983,7.967,8.583,6.383,10.7,10.516,9.932,9.033,10.016,99.963,12/09/2025 11:29:05,19.231,90.476,28.571,1,21.7980954901385,88.17756715410344,31.181279351190064
PKT94846M7Z8,2,0,0.47058823529412,3,5,947907,5,292929,2,AEAEAE,810000,3C3C3C,937600,2,15.0,3.0,4.0,68.346,6.0,0.0,8.0,44.831,2.0,4.0,15.0,11.316,23,7,27,124.493,1.0,3.35,3.0,13.349,4,10.833,3.0,16.132,4.0,3.467,3,9.799,4.0,10.883,67.813,1.0,3.0,2.0,1.0,21.832,2,3,2,5,5,5,5,3,5,4,3,4,4,2.0,7.266,3.0,3.699,4.0,1.015,4.0,1.532,4.0,2.783,3.0,2.999,19.294,0.0,2.0,0.0,24.0,77.98,0.0,2.0,0.0,24.0,125.094,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.367,4.667,12.6,2.834,5.45,8.666,7.116,7.35,8.533,86.429,12/09/2025 11:26:23,19.231,19.048,65.714,2,20.845450166002582,17.248654318108258,66.18148345722574
7CG4949BWJOM,1,1,0.47058823529412,1,2,FFFFFF,3,FFFFFF,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,3.0,2.0,16.0,30.901,4.0,17.0,10.0,56.467,3.0,3.0,14.0,29.265,10,22,40,116.633,2.0,14.533,2.0,5.133,2,4.382,2.0,4.016,3.0,23.369,4,8.099,3.0,10.467,69.999,1.0,1.0,1.0,1.0,15.216,1,1,2,5,4,4,2,4,5,3,2,2,3,1.0,8.7,1.0,1.6,2.0,2.8,1.0,0.7,2.0,1.3,4.0,13.5,28.6,0.0,0.0,0.0,24.0,62.266,0.0,9.0,0.0,24.0,187.547,5.5,1.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,5.216,6.85,2.8,5.716,8.25,6.185,5.483,4.816,7.0,76.698,12/09/2025 11:25:42,57.692,42.857,34.286,1,55.466894104103574,42.224960683923975,35.509960351582606
LOSXYY17C37Y,1,1,0.58823529411765,2,0,FFFFFF,7,B30007,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,14.0,21.0,5.0,58.564,9.0,29.0,5.0,67.948,5.0,11.0,12.0,0.0,28,61,22,126.512,4.0,3.166,2.0,5.717,3,15.649,2.0,17.1,3.0,17.349,4,7.917,1.0,7.999,74.897,1.0,1.0,0.0,1.0,19.083,1,2,3,1,5,1,1,5,5,5,5,5,1,1.0,5.8,1.0,2.0,1.0,2.9,1.0,1.2,2.0,3.0,2.0,6.2,21.1,0.0,0.0,0.0,24.0,64.948,0.0,4.0,0.0,24.0,97.412,5.5,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.9,7.417,6.783,5.832,9.867,8.482,22.149,6.667,5.066,100.494,12/09/2025 11:25:40,42.308,38.095,68.571,0,48.1778591531625,41.93591232340406,64.72126906403209
